Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
11/22/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,I have no recollection of this collection.DIVERSIFIED ADJUSTMENT. Never signed a contract with this company. I have written them directly and received no response. Someone either from a data breach or theft of my purse has use my information to obtain all kinds of weird things. I 'm tired of trying to call when they just tell me I owe the debt and do n't care to help,Company disputes the facts presented in the complaint,"Diversified Adjustment Service, Inc.",TX,770XX,,Consent provided,Web,11/22/2016,Closed with explanation,Yes,No,2220684
08/27/2018,Debt collection,Credit card debt,Written notification about debt,Didn't receive enough information to verify debt,My main complaint for today. Portfolio Recovery Associates has not updated any information to the credit reporting agencies. PRA has not updated anything for the past two years. I was unable to have PRA update to the credit agencies. I had tried calling them with several phone calls. They had refused to send out updates to the three major reporting agencies. I was shocked that they would not update anything. I am requesting that they make updates and send them out to the credit reporting agencies.,,PORTFOLIO RECOVERY ASSOCIATES INC,TX,775XX,,Consent provided,Web,08/27/2018,Closed with explanation,Yes,,3003015
05/16/2017,Debt collection,I do not know,Communication tactics,"Used obscene, profane, or other abusive language","We have received several calls from a man named  XXXX   XXXX  looking for my husband. He refuses to provide any more details other than his name and  XXXX  number, saying this ous a personal matter. Due to how rude he has been coupled with the lack of information from him, I asked him to correspond via mail, and to stop calling. The calls stopped, but never received anything in the mail. Several weeks pass, and  XXXX   XXXX  called our house again this morning. I explained my husband was unavailable, and asked if I could help him. He asked me to just have my husband call him, and provided his name and  XXXX  number. When i asked what company he was with, he refused to tell me, only saying it 's a personal matter. I told him, "" no, you need to tell me what company you represent or I wo n't have my husband call back ''. He said, "" real immature. How about you grow up? '' I said, "" excuse me?! '' He said, "" you heard me! Grow up! '' I responded with, "" lose my number   XXXX   XXXX   '' and hung up. I then had to  XXXX  the  XXXX  number he gave me to find the company he worked for, which turned out to be  National Bond and Collection Associates. I  called the other number listed on the website and asked the receptionist to speak to a supervisor. Then I asked if  XXXX   XXXX  was an employee. She explained that he was the supervisor. I then asked to speak with his boss because I was upset at the insulting bullying tactics  XXXX   XXXX  was utilizing. The receptionist, who did not give her name, chided me while saying, "" look at how you 're talking! You are immature and need to grow up! '' I told her to lose our number, and proceeded to call their local police department. The answering dispatcher told me I needed to go through my local department. Needless to say, the police were a dead end. I then contacted the FTC, who directed me to this site to file my formal complaint. I 'm familiar with collecting procedures and what companies can and can not do.  XXXX   XXXX  and his associates resort to illegal bullying tactics and evasive answering ; intimidating actions that might scare people into paying a debt they might not even have.  XXXX   XXXX  's refusal to provide supporting documents and unwillingness to provide company identification makes me think they 're skirting the line of fraud. At the very least, they 're bullies that need to be stopped.",,"National Bond And Collection Associates, Inc.",WI,,,Consent provided,Web,05/16/2017,Closed with explanation,Yes,,2485945
06/16/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"I have a collection account recorded on my credit report that is not mine, and was opened by someone using my name. I have reported this and spoken on the phone with representatives, who can verify that I have NEVER had this account with  XXXX . They will not confirm whether or not this has been removed from my credit report. When I try to check on the status online, I get a message that I am not allowed to view my dispute status online, without any explanation. I have never done any business with  XXXX , nor have I lived at the address where the original debt occurred. I disputed in  XXXX  of  2017  and my dispute case disappeared. I disputed again in  XXXX   2017  and this company will not let me check the status of the dispute online, and they have not responded to any emails regarding this fraud on my credit report.     TransUnion investigated and removed this right away.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TN,370XX,,Consent provided,Web,06/16/2017,Closed with explanation,Yes,,2551678
10/03/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,I am a victim of identity theft. Several inquiries are showing on my credit report that were not authorized by me. These inquiries include : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX  XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  All of the companies listed above obtained my credit report due to fraud. I have contacted each company and all companies have agreed to request the removal of the inquiry from my credit report. As of XXXX/XXXX/XXXX these inquiries are still showing on XXXX or more of my credit reports. I have attached a PDF of the letters I have received from the creditors above showing they have requested the removal of the inquires. I have also attached a copy of my photo ID for verification purposes.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,78704,,Consent provided,Web,10/03/2017,Closed with non-monetary relief,Yes,,2691750
08/14/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,"My credit report is showing a "" hard '' inquiry from XXXX XXXX on XX/XX/2018, that I did not authorize. I don't have any services with XXXX.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,926XX,,Consent provided,Web,08/14/2018,Closed with explanation,Yes,,2991805
07/05/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit repair services,Fraud or scam,,Started doing business with MMI in XX/XX/XXXX as a debt management program. They told me that my creditors agreed to stop reporting late payments to credit bureaus and that was false. Creditors were still reporting as late. I called and requested a refund for the monthly service fee due to the inaccuracies of their promises and they refused.,Company believes complaint caused principally by actions of third party outside the control or direction of the company,"Money Management International, Inc.",MI,482XX,,Consent provided,Web,07/07/2017,Closed with explanation,Yes,,2565536
12/14/2018,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"A purchase was made online for product "" A '', but the item was no delivered, instead a product item "" B '' was sent instead, with a modified invoice without my permission or consultation. 

Vendor ignored email requests for a return shipping label, after claiming to accept returns and refunds. 

Dispute was made to citibank via secured chat, full details including product model numbers were given. But days later, citibank reversed the temporary credit after vendor claimed they delivered the product. There was no follow-up from citibank prior to this claim. I further certified that I did not received the product as ordered, but instead was met with a citibank letter detailing that I needed to obtain a written permission from vendor in order to obtain a credit refund. Despite me stating I have evidences in the 2 chat, 1 email and 2 phone calls made to citibank. They have not made any attempts to obtain them or verify them from me. 

A phone call was made to the dispute department ( XXXX answered ), here I was appalled to discover that there was no means to contact the case person in charge, that the call was no recorded, and no information from that call will even reach the dispute department., and that the department had registered my dispute wrongly as non-delivered product and had decided to listen to a one-sided story from the vendor instead of verifying or consulting me in person. 

A letter was sent via the only method to possibly ( because I do not think they read it honestly ) reach the department ( as notified by the phone rep - XXXX ). Here in this letter, I detailed all email correspondences, XXXX dispute process, chatlog, photos of product B which was delivered in stead of A, including packaging and a invoice showing what was delivered versus what I ordered. 

The case was later closed by citibank with this exact remark : "" Since there is no detailed description of the merchandise or services excepted to receive, we are unable to assist you in obtaining funds from the merchant '' Citibank has presented that their dispute department is incapable of performing due dilligences in dispute cases, unable to communicate even within their own departments, and extremely unwilling to allow customer to call them out on their fails.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,926XX,,Consent provided,Web,12/14/2018,Closed with monetary relief,Yes,,3100789
11/28/2015,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,"My name is XXXX XXXX and I am extremely frustrated that I was not able to process a dispute with Transunion, which was received by them on XX/XX/2015 via certified mail return receipt requested. I simply received a heavily worded letter from them denying me an investigation, claiming that my verification provided was not sufficient. I am afraid that they are stalling me and deliberately ignoring my request for an investigation into an expunged civil claim. 
I had provived vey sufficient and actually excessive amount of verification and they claim that I am not who I am and therefore they will not process anything from until i forfeit more proof or documentation. 
First I would like to clarify that I have ALEADY provided them with1. Drivers License and State Identification2. My Social Security number and a copy of my SSCard3. A certified Letter costing me over {$7.00}! 
4. A signed letter from My address and residence. 

They are violating me and pushing me around by requested personal information and documentation that is overly suspspcious and not safe to send via mail. I have had cases of IDENTIFTY Theft and ban fraud committed against me and I am very weary of sending anything above and beyond expected. 
I think that my documentation was extremely sufficient and in actuality this company is avoiding me, hurting me, and accusing me of not being me. They are using such tactics a lot against consumers an that is not fair. Who else would I be? How dare they deny me after EVERYTHING I supplied on my behalf. They are being very sneaky and un productive and clearly they are choosing to ignore my issue. 

I sent this letter via certified mail and they received it on XX/XX/2015- Transunion has until XX/XX/2015 to delete this invalid Public Record Item from my credit Report or I will Purseu Litigation against them in the small claims court. I ahv XXXX consulted with an attorney at their mishandling of my dispute an their refusal to acknowledge perfectly sufficient and perfectly legible verification documents. 

I wonder what you have done with my information. Have you shredded it or kept it in archive? Because if you claim that i have not provided enough proof then I am certain you have mishandled my letter and my documents. If you can not produce these items in a court of law It will be very obvious to me who is lying here.",Company chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,914XX,Older American,Consent provided,Web,11/28/2015,Closed with explanation,Yes,No,1674346
02/22/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"This is a rebuttal to a previous complaint. 

i did not request to have collectors removed like you said in the last message ... did you even read what I wrote? 

I already did it myself!! What I want to know is how is it that I can remove items from my credit report but when i file a dispute with you all, BEFORE i tried removing them myself and you all rejected my dispute!!!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,78753,,Consent provided,Web,02/22/2018,Closed with explanation,Yes,,2823081
11/13/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"TransUnion you are inviolation of FCRA 623 and FDCPA 806 { b } which statesthat a credyor must enter a notice of dispute if this is not entered the account can not report on the credit report BUT you still report it Knowing that its in dispute, .Also failure to report that the account is sold to who with no address or any information still listing as XXXX  , There is no last payment date No name of who account was sold Balance still showing no listing of in dispute REF : XXXX  CFPB there need not be another 60 day investigation you have all the document facts along with the CFPB showing that there is NO evidence that account is mine or ever made by myself. the two violations listed above in its self warrant the removal of the account immediately, the CFPB should enforce the violation from you to remove it",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,93637,,Consent provided,Web,11/13/2018,Closed with explanation,Yes,,3073202
09/05/2017,Credit card or prepaid card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,"I paid a company, XXXX XXXX, $ XXXX by debit card for a service they never provided. Wells Fargo allowed the them to keep my funds stating that: ""you did not cancel the service as outlined in the terms and conditions signed by you.""It turns out this company is a scam and criminal enterprise, the owner is being criminally charged for doing to others, what he did to me. XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,VA,20146,,Consent provided,Web,09/05/2017,Closed with explanation,Yes,,2658540
05/09/2018,Credit card or prepaid card,Store credit card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,I charged a bed to my account and the bed was put up and defective the bed bottom is no longer intact and it would require building a new platform for the bed. This is the second defective item purchased from this company. We called the furniture customer service several times and have been on hold many times and finally was told the bed would be picked up that the arranges for a truck to pick up the bed because we paid to have the bed put together. The company never picked up the bed and I still have the defective bed that mattress can't be layed in because of the poor craftmenship of the bed. I also tried to dispute a charge made at a drug store for XXXX and that wasn't resolved either. This is costing me extra interest and money. I have to take the company to small claims to recoup my funds.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,CT,,,Consent provided,Web,05/09/2018,Closed with explanation,Yes,,2901295
09/06/2017,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,I pulled a copy of my credit report and noticed that there was a collection reporting with XXXX XXXX. I did dispute the account with the credit reporting agencies because the account is not mine. I have never had XXXX service my entire life so I do n't know how they reported the false information. The three bureaus did remove the account. I thought it was said and done. Then I received another credit report and now Convergent Outsourcing is reporting the same exact account with a new open date. This is absolutely maddening. If they would use my social security number and birth date the would see it 's not mine. They are only going by my name which is common. I am very upset because I pay my bills on time and now because of their error it 's affecting my ability to make a financial move.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Convergent Resources, Inc.",FL,,,Consent provided,Web,10/02/2017,Closed with explanation,Yes,,2659109
11/03/2017,Checking or savings account,Checking account,Managing an account,Banking errors,"On Sunday XXXX XXXX 2017 I walked into a TD Bank in XXXX N.J. to deposit a check that I was suspicious about its authenticity.The funds were sent to me by someone posing to buy something from me online and I was sent the movers money as well to pass on. I informed the teller that I was suspicious about the check and wanted to know when I can be sure the check was authentic before using the funds. The teller informed me that the check will take 2 days to clear and by Tuesday I should check to see if its still pending. Once the check is n't pending and the funds have been added to the account I can be sure the check was legit and cleared. I deposited part of the check and cashed the remainder and waited till Tuesday to use the funds.On Tuesday morning I checked and the check was no longer pending and the funds were safely in my account. I took the funds and sent them to the supposed mover. On Wednesday, I see that the amount for the check had been taken out of my account. Upon contacting the bank I was informed that the check had insufficient funds and the bank took out money from my account in the amount of the check.Basically I had been scammed.
I was shocked as I had suspected this may have been the case and deliberately asked the bank how to proceed.I followed the exact instructions given to me by the bank. The bank refuses to take any responsibility and insists that its my issue. How can I protect my own money when the bank helps the scammers and could care less about their own costumers? How was I to know not to trust the bank teller? How come there 's no laws protecting consumers from the banks mistakes?
I went back to the bank and videoed myself asking the bank teller the question again.I asked the question to 3 different tellers, receiving the identical answer. They assured me I have nothing to worry about once the check clears and funds have been permanently added to the account. I tried to enclose the video below, however the size was too big to upload. I 'm going to attempt to post it online wherever possible, in an attempt for the truth to get out, if there 's still someone left with some sort of honest conscious, someone who realizes there 's more to life than getting away with someone else 's money.
Its frightening to see how little the bank cares about you, the very institution who you trust your money with and is supposed to be helping you.Its 2017, and our country has laws protecting animals, plants, and ancient buildings, but cant get they 're act together to help people being bullied and taken advantage of by financial institutions. And lastly, its sad to see how when the bank helps lose your money, no one gives a XXXX, but if the bank loses a dime, they 'll turn the world over. Its time for either a class action lawsuit or a politician that actually cares to make noise and put an end to this.",,TD BANK US HOLDING COMPANY,NJ,087XX,,Consent provided,Web,11/03/2017,Closed with monetary relief,Yes,,2719520
03/24/2017,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,"I have sent a certified letter to the company in question to verify and gather other information per the Fair Debt Collection Practices Act, 1 : USC 1692g Sec 809 ( b ) and they have stated to me that they are not required to provide any information that is required.",,"Account Recovery Specialists, Inc.",KS,,Servicemember,Consent provided,Web,03/24/2017,Closed,Yes,No,2402688
07/28/2016,Bank account or service,Checking account,"Account opening, closing, or management",,I signed up for a CitiGold Checking account which promised a reward for joining of XXXX XXXX XXXX Aadvantage Miles. I was told on XX/XX/2016 what requirements I needed to meet by XXXX XXXX. On XX/XX/2016 I was told I met those requirements and that the miles would be deposited on XX/XX/2016. I have yet to receive the miles I was promised for opening the account.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NJ,071XX,,Consent provided,Web,07/28/2016,Closed with monetary relief,Yes,No,2035750
04/06/2017,Debt collection,Payday loan,Improper contact or sharing of info,Talked to a third party about my debt,"AD Astra Recovery service is on my credit report. I did a request for verification of a XXXX loan that was taken out without my consent. I have attached a loan that was attempted on my Daugther 's SSN also. During the Summer I did attempt to start business funding. My information was given to third parties. 

I did have phone contact with AD Astra Recovery. I did state I had a POA. The phone call was aggressive and not consumer friendly. If I say one thing a phone call should end. The probing and questions. I do have a POA in place due to my information was given out. I have had fraud on my bank accounts and have been through harassing or "" scam '' calls since this started since XX/XX/XXXX. 

I did receive an email from XXXX for an email for a XXXX loan approval rating. I never received a phone call to verify any information. I used my email address. I do n't see the -signature. Also, I went back to research XXXX. I I do have an illegal credit check on XXXX Report from XXXX. I never authorised this credit check with XXXX. 

I have read many complaints about Astria Recovery and XXXX. I ca n't find they are invested with each other. Astra Recovery Systems and XXXX do not help the debt consumer but keep them in debt by getting more loans or using the credit check to initiate on credit reports to force payments. I have read numerous accounts of they will take negative reports if paid today. 

A collection was placed on my account last week. A man name XXXX ( the wrong name is given in the previous complaint ) XXXX SEM scheduling called my home. He did give out Recovery Service was going to my home to serve me. Who will be my lawyer in XXXX TX. 

I drew up a legal notice to AdAstria. I told them in the letter that I will advise my attorney. XXXX is my attorney. In that letter, I never released his address, phone number, TX law license number. I never stated to cease to talk to me. Talk to my lawyer. AdAstria had no permission to contact or send any packages to my lawyer. 

My attorney called me XX/XX/XXXX and told me that AdAstria did get in contact with him to verify him as my lawyer. AdAstria had to find a XXXX ( my attorney ) to probe without my consent. That is violating my privacy and my attorney 's client relationship.",,Ad Astra Recovery Services Inc,TX,773XX,,Consent provided,Web,04/06/2017,Closed with explanation,Yes,Yes,2423452
10/09/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Reporting company used your report improperly,I have several inquiries been reported on my credit report that I did not authorize from my understanding you have to be given a written authorization for your credit to be pulled of which I did not give any company to pull my credit report of which at the time I had a credit freeze on my credit .Under the fair credit reporting act usc1681g I have the right to demand that you disclose to me all of the documents that you have recorded ans reatained in your file at the time of the request concerning the inquiries that are reporting in my credit report please do n't respond to my request by saying that these inquiries have been verified .Send me copies of the documents that you have in your file that were used to verify them if you do not have any documentation in your file to verify the accuracy of these disputed inquiries then please delete them immediately.Section 6115 a of the fcra you are required to promptly DELETE information which can not be verified the law is clear to civil liability and the remedies available to me for negligent compliance Section 617 if you fail to comply with this federal law I am a litigious consumer and full y intend on pursuing ligation in this matter to enforce my rights under the FCRA,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,IL,604XX,,Consent provided,Web,10/09/2017,Closed with explanation,Yes,,2697224
